Country,Continent,Alcoholic_Beverages,Animal_fats,Animal_Products,Aquatic_Products_Other,Cereals_Excluding_Beer,Eggs,Fish_Seafood,Fruits_Excluding_Wine,Meat,Milk_Excluding_Butter,Miscellaneous,Offals,Oilcrops,Pulses,Spices,Starchy_Roots,Stimulants,Sugar_And_Sweeteners,Sugar_Crops,Treenuts,Vegetable_Oils,Vegetables,Vegetal_Products,Obesity,Undernourished,Confirmed,Deaths,Recovered,Active,Population,Grains,Vegetables_Sum,Fruits,Protein,Grains_25,Vegetables_Sum_25,Fruits_25,Protein_25,Total_25,Max_of_4,Min_of_4,Healthy_Or_Not,Deaths_rate,Recovered_rate,Active_rate,Total_rate
Bangladesh,Asia,0.0031,0.0156,5.1926,0.0,29.8045,0.2957,2.5221,2.8655,0.4191,1.8778,0.0197,0.0633,0.082,0.7065,0.3195,5.3378,0.0529,0.9285,0.195,0.0934,0.7615,3.6405,44.8033,3.4,14.7,0.028810328,0.000397148,0.005976159,0.022437022,163667000.0,37.520100000000006,49.2053,2.8686,10.4059,31.266750000000005,30.753312500000003,7.1715,13.007375000000001,82.1989375,g,f,0.0,1.3784917686462994,20.743113372398952,77.87839832993224,100.00000347097749
Barbados,North America,3.565,0.2212,12.4976,0.0,8.0666,0.7792,3.275,5.8723,5.8477,2.2041,3.302,0.1704,0.8734,0.6391,0.1565,4.0812,0.1721,4.3344,0.0,0.0852,0.8677,5.4725,37.5167,24.8,3.9,0.032055749,0.002439024,0.026480836,0.003135889,287000.0,18.4085,43.8569,9.4373,28.2972,15.340416666666668,27.4105625,23.59325,35.3715,101.71572916666666,p,g,0.0,7.608694465382793,82.6086952452741,9.782610289343106,100.00000000000001
Belarus,Europe,3.7563,0.3353,12.7089,0.0,6.2814,0.7565,0.8372,3.5665,4.1893,6.2104,0.5035,0.3795,0.072,0.001,0.0067,9.1691,0.1142,4.0155,0.0,0.1399,0.8804,8.7859,37.2904,26.6,2.5,0.449519383,0.002482307,0.195563536,0.25147354,9467000.0,19.7998,46.9567,7.3228,25.920599999999997,16.49983333333333,29.3479375,18.307000000000002,32.400749999999995,96.55552083333333,p,g,1.0,0.5522135627241684,43.50502856959118,55.942757867684655,100.0
Belgium,Europe,5.373,0.8559,17.7279,0.001,6.6704,0.6487,1.1325,4.1623,3.237,11.6344,0.0,0.2185,0.0965,0.1132,0.0409,4.4157,0.2461,3.6514,0.0,0.1309,0.564,6.8161,32.2637,24.5,2.5,0.509521732,0.082623495,0.138654215,0.288244022,11458000.0,15.365100000000002,39.6438,9.5353,35.4559,12.80425,24.777375,23.83825,44.319874999999996,105.73975,p,g,0.0,16.215892239901557,27.21262044226212,56.571487317836336,100.00000000000001
Belize,North America,3.3803,0.0832,8.6856,0.0,11.07,0.3923,1.0325,12.6094,3.489,3.6317,1.7653,0.0569,0.394,1.1259,0.0195,1.0614,0.0849,3.9798,0.0,0.034,1.0198,4.7721,41.3122,22.4,7.5,0.004411765,0.000490196,0.003921569,0.0,408000.0,17.769499999999997,47.104099999999995,15.989700000000001,19.136499999999998,14.807916666666666,29.440062499999996,39.97425,23.920624999999998,108.14285416666667,f,g,0.0,11.111108592592762,88.88889140740723,0.0,99.99999999999999
Benin,Africa,5.9019,0.0132,3.7504,0.0,9.623,0.0711,1.2267,2.9523,1.4107,0.9458,0.145,0.0829,0.6628,0.7367,0.4461,19.7771,0.0042,0.6635,0.0,0.4028,0.7381,4.1964,46.2493,8.2,10.1,0.001965935,2.54e-05,0.001211762,0.000728752,11801000.0,32.3162,51.1838,8.8542,7.6458,26.930166666666665,31.989875,22.135500000000004,9.55725,90.61279166666667,v,p,0.0,1.2920060937925213,61.63794835536272,37.06897735683022,99.99893180598545
Bolivia,South America,2.8956,0.0889,11.7799,0.0,12.3079,0.6626,0.2307,7.5088,6.4098,4.2873,0.1661,0.1006,0.1374,0.3654,0.0422,7.7315,0.2083,2.5724,0.0,0.7084,0.3573,3.2224,38.2165,18.7,17.1,0.087027027,0.002728858,0.008439407,0.075858762,11470000.0,24.0735,41.796200000000006,10.404399999999999,23.725900000000003,20.06125,26.122625000000006,26.010999999999996,29.657375000000002,101.85225,p,g,1.0,3.1356442866880876,9.697455251458836,87.16690046185306,99.99999999999999
Bosnia and Herzegovina,Europe,4.7876,0.0585,12.4319,0.0,8.7152,0.2576,0.2465,4.6409,1.8165,9.9443,0.486,0.1089,0.0963,0.2718,0.3922,4.0495,0.3504,1.6391,0.0,0.0822,0.4205,11.6394,37.5645,19.4,2.5,0.071858002,0.004380189,0.053306613,0.0141712,3493000.0,15.596700000000002,49.6244,9.4285,25.350199999999997,12.997250000000001,31.015249999999998,23.57125,31.687749999999998,99.2715,p,g,0.0,6.095617576453071,74.18326632571832,19.721116097828602,99.99999999999999
Botswana,Africa,4.2717,0.3402,14.4486,0.0,11.432,0.1402,0.3551,2.8465,2.284,11.0217,1.6092,0.3056,0.2019,0.2729,0.1626,4.7614,0.1336,4.7857,0.0009,0.015,1.0065,4.0558,35.5491,16.1,26.4,0.001533071,4.38e-05,0.00087604,0.000613228,2283000.0,21.766000000000005,40.6114,7.1182,30.5046,18.138333333333335,25.382125,17.7955,38.13075,99.44670833333333,p,f,0.0,2.8570105363678526,57.142819869399396,39.99997390857957,99.99980431434682
Brazil,South America,4.3629,0.2803,17.347,0.0,8.4292,0.5042,0.5899,6.0936,6.4784,9.3416,0.0006,0.1512,0.7093,0.9254,0.0071,3.3959,0.3024,2.7755,1.0111,0.0513,1.2823,3.307,32.6537,22.3,2.5,0.245948541,0.014003592,0.098673399,0.13327155,209332000.0,17.6072,37.243,10.4565,34.693200000000004,14.672666666666665,23.276875000000004,26.14125,43.36650000000001,107.45729166666666,p,g,0.0,5.693708099695538,40.11953012561274,54.18676177469172,100.0
Bulgaria,Europe,7.0834,0.2488,17.2483,0.0103,8.875,0.5924,0.4845,3.9812,4.0073,11.5992,0.2254,0.3058,0.345,0.1512,0.6048,1.8576,0.2818,2.3627,0.0,0.0797,0.7085,6.2037,32.7435,27.4,3.6,0.036028674,0.002007168,0.015397849,0.018623656,6975000.0,14.5578,39.655699999999996,11.0646,34.722,12.1315,24.784812499999997,27.6615,43.402499999999996,107.9803125,p,g,0.0,5.571029341795927,42.73776215022513,51.691205732411916,99.99999722443297
Burkina Faso,Africa,15.3706,0.0231,4.6611,0.0,21.2005,0.2406,0.7077,0.6596,1.2029,2.3195,0.1373,0.1664,1.8664,1.4294,0.0321,0.9723,0.0211,1.1287,0.0,0.0712,0.9503,1.5036,45.3359,4.5,20.0,0.004168102,0.000260814,0.003543133,0.000364155,20321000.0,26.721700000000002,47.7898,16.0302,9.458599999999999,22.268083333333337,29.868624999999998,40.075500000000005,11.82325,104.03545833333334,f,p,0.0,6.2573804575799725,85.00590916441104,8.736710378008985,99.99999999999999
Cabo Verde,Africa,3.9814,0.0363,9.7559,0.0029,14.7961,0.4602,1.0598,4.6402,3.0725,5.0192,1.119,0.105,0.5394,1.139,0.2731,3.843,0.1671,2.1396,0.0,0.0258,0.9471,6.6338,40.2437,10.6,12.6,0.079090909,0.000727273,0.035090909,0.043272727,550000.0,22.9231,47.8246,8.6216,20.6308,19.102583333333335,29.890374999999995,21.554000000000002,25.788500000000003,96.33545833333334,v,g,1.0,0.9195405757695868,44.36781602800899,54.71264339622143,100.0
Cambodia,Asia,4.5783,0.0377,6.08,0.0,24.8906,0.131,4.2369,2.3184,1.2247,0.3285,0.4853,0.1211,0.79,0.4903,0.0784,3.0519,0.126,2.9923,0.8367,0.0238,0.2511,3.0072,43.9195,3.5,16.4,0.000758173,0.0,0.000746042,1.21e-05,16487000.0,33.28,47.1778,6.896699999999999,12.645200000000003,27.73333333333333,29.486124999999998,17.241749999999996,15.806500000000003,90.26770833333333,v,p,1.0,0.0,98.39996940012372,1.5959418233041798,99.9959112234279
Cameroon,Africa,5.156,0.0146,2.933,0.0,10.3112,0.0256,1.3206,7.2151,0.876,0.6289,0.0717,0.0673,0.8658,1.4734,0.283,11.3883,0.0234,0.6479,0.0,0.1324,0.6398,8.859,47.067,9.5,9.9,0.02281651,0.000738136,0.013788839,0.008289535,25876000.0,25.1254,56.565799999999996,12.371099999999998,5.9377,20.937833333333334,35.353625,30.92775,7.422125,94.64133333333334,v,p,0.0,3.2350959897021934,60.43360268507322,36.33130132522459,100.0
Canada,North America,4.8441,0.8084,16.0365,0.006,6.4236,0.7668,1.2148,5.0692,4.4707,8.7596,0.6071,0.0097,0.4334,0.6304,0.0574,3.494,0.4053,5.0237,0.0,0.1439,1.3441,5.4961,33.9551,31.3,2.5,0.247184134,0.019709727,0.131539839,0.095934568,37413000.0,16.6117,40.795300000000005,9.9133,32.67960000000001,13.843083333333334,25.497062500000002,24.78325,40.84950000000001,104.97289583333335,p,g,0.0,7.9737023089030465,53.215324491660134,38.81097319943682,100.0
Central African Republic,Africa,1.7435,0.1228,6.9032,0.0,3.8844,0.051,0.8041,4.5543,3.7346,1.7581,0.0614,0.4338,0.697,0.8936,0.0031,27.7128,0.2008,0.7022,0.0,0.0,0.724,1.9214,43.0942,6.3,59.6,0.021306639,4.21e-05,0.000484721,0.020779768,4745000.0,34.0939,45.7396,6.2978,13.869000000000002,28.41158333333333,28.587250000000004,15.7445,17.336250000000003,90.07958333333335,v,f,1.0,0.19759099499456487,2.2749763583078497,97.52719797805746,99.99976533135987
Chad,Africa,0.8297,0.2023,12.2804,0.0,21.6017,0.0495,1.0451,1.0669,3.8543,5.9037,0.064,1.2256,3.0304,1.4133,0.0,6.991,0.0087,1.3449,0.0,0.0,0.4556,0.9141,37.7189,4.8,37.5,0.00475841,0.000397554,0.003003058,0.001357798,16350000.0,34.39,39.0886,1.8965999999999998,24.6249,28.658333333333335,24.430374999999998,4.7415,30.781125,88.61133333333333,p,f,0.0,8.354765562446278,63.110534821505496,28.534699616048215,99.99999999999999
Chile,South America,4.969,0.1782,15.0394,0.0155,10.8579,0.7757,0.8711,3.9109,6.1492,6.9966,0.3024,0.0525,0.2588,0.2677,0.0133,4.7183,0.1353,3.5582,0.0,0.119,0.5435,5.3092,34.9584,28.8,2.7,0.52173549,0.005516303,0.223619616,0.292599571,19107000.0,19.9285,40.811099999999996,8.8799,30.380599999999998,16.607083333333332,25.5069375,22.199749999999998,37.97575,102.28952083333331,p,g,0.0,1.0572987856356102,42.860725460711905,56.08197575365249,100.0
China,Asia,2.3224,0.0866,13.424,0.0542,8.9298,1.2059,3.3435,4.2451,6.0732,1.7962,1.3773,0.8643,0.4401,0.0704,0.0364,1.9016,0.1781,3.1065,0.0253,0.2665,0.579,13.099,36.5744,6.6,8.5,0.006018898,0.000331753,0.005678634,8.51e-06,1398030000.0,14.9547,50.252399999999994,6.5675,28.2252,12.462250000000001,31.407749999999997,16.41875,35.2815,95.57024999999999,p,g,0.0,5.511856157057322,94.34673922036892,0.14138800823672373,99.99998338566296
Colombia,South America,3.1032,0.0814,12.821,0.0,8.1055,0.8132,0.4552,11.3276,3.554,7.7443,0.0776,0.1729,0.2276,0.3503,0.0343,5.0309,0.0057,4.7518,0.028,0.0947,0.9454,3.0981,37.1774,22.1,4.8,0.054033827,0.001818398,0.013959582,0.038255846,50374000.0,18.6288,41.2209,14.430800000000001,25.719599999999996,15.524,25.7630625,36.077000000000005,32.149499999999996,109.5135625,f,g,0.0,3.365295595294407,25.834894130301006,70.79980842371207,99.99999814930747
