Country,Continent,Alcoholic_Beverages,Animal_fats,Animal_Products,Aquatic_Products_Other,Cereals_Excluding_Beer,Eggs,Fish_Seafood,Fruits_Excluding_Wine,Meat,Milk_Excluding_Butter,Miscellaneous,Offals,Oilcrops,Pulses,Spices,Starchy_Roots,Stimulants,Sugar_And_Sweeteners,Sugar_Crops,Treenuts,Vegetable_Oils,Vegetables,Vegetal_Products,Obesity,Undernourished,Confirmed,Deaths,Recovered,Active,Population,Grains,Vegetables_Sum,Fruits,Protein,Grains_25,Vegetables_Sum_25,Fruits_25,Protein_25,Total_25,Max_of_4,Min_of_4,Healthy_Or_Not,Deaths_rate,Recovered_rate,Active_rate,Total_rate
Dominican Republic,North America,3.21,0.1122,11.2417,0.0006,6.9232,0.6445,0.6059,18.4431,3.5009,6.1202,0.0906,0.2567,1.1395,0.5881,0.026,2.0198,0.142,2.1332,0.0,0.0108,1.2948,2.7385,38.7577,26.9,9.5,0.166201923,0.004826923,0.101528846,0.059846154,10400000.0,12.9826,42.791,21.653100000000002,22.5733,10.818833333333334,26.744374999999998,54.13275000000001,28.216625,119.91258333333334,f,g,0.0,2.904252196889443,61.08764818563501,36.008099617475544,100.0
Ecuador,South America,3.2929,0.1277,15.3469,0.0328,14.9132,0.6902,0.6893,8.039,4.0115,9.5745,0.1526,0.22,0.1765,0.157,0.0177,2.2701,0.0071,1.737,0.0,0.016,1.3777,2.4981,34.6522,19.3,7.9,0.226418809,0.019446375,0.11345842,0.093514014,17268000.0,19.294600000000003,38.528,11.3319,30.8455,16.078833333333336,24.08,28.329749999999997,38.556875000000005,107.04545833333334,p,g,0.0,8.588674715624,50.109980041454946,41.30134524292106,100.0
Egypt,Africa,0.0722,0.0896,6.7374,0.0,17.5311,0.2307,1.5844,6.9387,1.7583,2.7568,0.0187,0.317,0.6541,0.3063,0.0655,2.6919,0.0863,1.7984,2.0338,0.0268,0.3839,10.6559,43.2622,31.1,4.5,0.025221069,0.000968061,0.00609404,0.018158968,99064000.0,25.194200000000002,54.302,7.0108999999999995,13.4929,20.995166666666666,33.93875,17.52725,16.866125,89.32729166666665,v,p,1.0,3.8383028094487197,24.162496839448007,71.99920035110328,100.00000000000001
El Salvador,North America,2.1651,0.1113,12.888,0.0,11.7265,0.7533,0.573,5.9517,2.6337,8.7381,0.592,0.0794,1.4273,1.4661,0.0121,2.2462,0.2649,3.526,0.0,0.0155,0.4565,7.2703,37.1029,22.7,9.0,0.03899907,0.000712736,0.016114038,0.022172296,6454000.0,20.6846,44.829699999999995,8.1168,26.368799999999997,17.237166666666667,28.018562499999998,20.291999999999998,32.961,98.50872916666667,p,g,1.0,1.8275717856861713,41.31903145382698,56.85339676048686,100.00000000000001
Estonia,Europe,6.1949,0.4556,22.3154,0.0005,6.3498,0.6145,0.7127,3.5061,3.081,17.3068,0.1501,0.1457,0.0518,0.1472,0.0576,3.2403,0.2121,2.3886,0.0,0.0886,0.3472,4.9558,27.6779,23.8,2.9,0.140737952,0.005120482,0.122289157,0.013328313,1328000.0,12.536,32.9809,9.701,44.7823,10.446666666666667,20.613062499999998,24.2525,55.977875,111.29010416666667,p,g,0.0,3.6383093026676985,86.89138591415626,9.47030478317604,100.0
Eswatini,Africa,6.2239,0.1024,7.4118,0.0019,14.7814,0.1578,0.3643,8.5537,2.5917,3.9299,0.6695,0.262,0.3005,0.3578,0.1615,5.3187,0.0648,3.1796,0.0,0.0892,0.3258,2.5701,42.5816,13.5,20.6,0.02600365,0.000182482,0.017244526,0.008576642,1096000.0,24.253500000000003,45.4775,14.7776,15.491299999999999,20.211250000000003,28.4234375,36.944,19.364124999999998,104.9428125,f,p,0.0,0.7017553305016796,66.31579028328716,32.98245438621117,100.0
Ethiopia,Africa,2.4543,0.0276,5.2956,0.0,22.0779,0.0594,0.0608,1.1774,0.7462,4.2647,0.018,0.1382,0.2322,3.0195,0.4298,11.2918,0.2957,1.317,0.0,0.0802,0.4699,1.8449,44.6989,3.6,20.6,0.001045691,9.81e-06,0.000186476,0.000849401,112079000.0,38.744099999999996,47.0137,3.6317,10.6105,32.28675,29.3835625,9.07925,13.263125,84.0126875,g,f,0.0,0.9381356442773245,17.832801468120124,81.22868036542343,99.99961747782088
Fiji,Australia,1.8598,0.2922,7.8511,0.0021,10.144,0.2682,2.3832,2.1636,3.0004,1.7421,0.2586,0.1642,4.3799,0.7746,0.05,7.8599,0.1238,9.7259,0.0,0.0157,0.8683,3.9255,42.1469,30.0,3.7,0.002017937,0.0,0.001681614,0.000336323,892000.0,33.0738,46.9407,4.0234000000000005,15.9621,27.5615,29.3379375,10.0585,19.952624999999998,86.9105625,v,f,0.0,0.0,83.33332507407317,16.666674925926827,100.0
Finland,Europe,4.5004,0.519,26.8865,0.0,5.1978,0.3979,1.5306,3.1864,3.4915,20.8378,0.7944,0.1097,0.0883,0.0533,0.0168,2.7671,0.545,1.8388,0.0,0.046,0.2468,3.8325,23.1132,24.9,2.5,0.12423474,0.005796051,0.099619634,0.018819055,5521000.0,10.5531,27.1925,7.6868,54.5674,8.79425,16.995312499999997,19.217000000000002,68.20925,113.2158125,p,g,0.0,4.665402768983942,80.18661607856224,15.147981152453816,100.0
France,Europe,4.1631,0.7907,21.7097,0.0011,6.9951,0.611,1.8214,4.878,4.4005,13.784,0.1918,0.301,0.1479,0.0991,0.0164,2.6963,0.2925,2.611,0.0,0.2093,0.8675,5.1223,28.2903,23.2,2.5,0.291527594,0.044428849,0.105612796,0.141485949,64834000.0,13.0676,34.2801,9.0411,43.61120000000001,10.889666666666667,21.425062499999996,22.60275,54.51400000000002,109.43147916666669,p,g,0.0,15.240014981223354,36.227375443574644,48.532609575201995,100.0
Gabon,Africa,6.1881,0.0109,8.1825,0.0,9.1158,0.0701,2.2578,9.0341,4.32,0.9486,0.4751,0.5758,0.8509,0.0139,0.0015,11.8727,0.0212,1.2508,0.1248,0.0051,0.4824,2.3979,41.8004,13.4,10.5,0.122012868,0.00078125,0.033180147,0.088051471,2176000.0,23.256699999999995,44.6807,15.2222,16.8408,19.38058333333333,27.9254375,38.0555,21.051000000000002,106.41252083333335,f,g,0.0,0.640301316415249,27.193973507777887,72.16572517580687,100.0
Gambia,Africa,2.8419,0.0114,10.1417,0.0,21.8908,0.2008,3.9197,0.8742,1.1134,4.8167,0.9824,0.0812,3.1637,0.1281,0.0043,0.8614,0.2719,4.1176,0.0,0.0897,2.2026,2.4575,39.8291,8.7,10.2,0.001064736,4.26e-05,0.000851789,0.000170358,2348000.0,30.527499999999996,44.4892,3.7161,21.2673,25.43958333333333,27.805749999999996,9.29025,26.584124999999997,89.11970833333332,v,f,0.0,4.00099179514922,80.00001878399905,16.00002254079885,100.00103311994712
Georgia,Asia,2.5343,0.2356,15.5347,0.0,15.6253,0.5032,0.6622,3.1735,2.6217,11.3605,0.7882,0.1507,0.084,0.0025,0.0247,3.7542,0.2397,3.311,0.0,0.1631,0.668,4.0993,34.4636,23.3,7.9,0.019589692,0.000300225,0.015136352,0.004153115,3997000.0,23.204499999999996,39.2309,5.707800000000001,31.856800000000003,19.33708333333333,24.519312499999998,14.2695,39.821000000000005,97.94689583333333,p,f,0.0,1.532566208800016,77.26692180765272,21.200511983547266,100.0
Germany,Europe,6.7714,0.6715,20.8485,0.0011,6.0363,0.5947,0.6758,3.6131,4.6524,14.1789,0.0,0.0747,0.1701,0.0419,0.0429,3.5712,0.3493,2.507,0.0,0.1903,0.8104,5.0542,29.1443,25.7,2.5,0.220709988,0.010276775,0.198979543,0.01145367,83100000.0,12.909,35.0089,10.3845,41.6976,10.7575,21.880562499999996,25.961249999999996,52.122,110.7213125,p,g,0.0,4.656234678423344,90.15429922455527,5.1894660970214,100.00000000000001
Ghana,Africa,0.9444,0.0088,2.8956,0.0,6.323,0.0705,1.4992,10.4274,0.8069,0.4178,0.1657,0.0917,0.7957,0.392,0.238,24.6325,0.0053,0.8128,0.2815,0.0364,0.3655,1.6849,47.1041,9.7,5.5,0.026650375,0.000118886,0.009732175,0.016799313,30281000.0,33.5172,49.154500000000006,11.3718,5.9562,27.931,30.721562500000005,28.4295,7.445250000000001,94.52731250000001,v,p,0.0,0.44609503618616997,36.51796644512507,63.03593476639634,99.99999624770757
Greece,Europe,2.2879,0.2116,17.6914,0.0005,7.2801,0.4539,1.026,6.3296,3.7836,12.0221,0.0596,0.1947,0.8112,0.2539,0.0243,3.1307,0.256,1.7744,0.0,0.6676,1.5237,7.9134,32.3038,27.4,2.5,0.027259135,0.001635361,0.012839922,0.012783852,10701000.0,14.1982,41.7409,8.6175,35.443400000000004,11.831833333333334,26.088062500000003,21.54375,44.30425,103.76789583333334,p,g,0.0,5.999313624588601,47.10318944456601,46.897496930845385,100.0
Grenada,North America,3.1315,0.1276,12.1319,0.0019,7.6569,0.9226,2.5802,11.0608,5.6546,2.7183,1.2873,0.1266,1.3768,0.6417,0.3171,2.2222,0.1104,5.448,0.0,0.0143,0.9959,3.6085,37.8648,20.2,5.086516853932585,0.020535714,0.0,0.016071429,0.004464286,112000.0,17.787399999999998,42.4692,14.1923,25.551,14.822833333333332,26.54325,35.48075,31.93875,108.78558333333334,f,g,0.0,0.0,78.26087274102085,21.739132128544444,100.00000486956529
Guatemala,North America,1.7037,0.0957,10.3765,0.0,15.1579,1.4676,0.2807,6.7124,3.9589,4.4093,0.0348,0.1632,0.5276,1.6504,0.0403,1.3316,0.2872,5.3058,0.0,0.198,0.8747,5.7997,39.624,18.8,15.2,0.028934645,0.0006143,0.00418065,0.024139696,17581000.0,24.498799999999996,46.2984,8.4161,20.786700000000003,20.415666666666663,28.9365,21.04025,25.983375000000002,96.37579166666666,v,g,1.0,2.123060434990649,14.448596137951581,83.4283468831223,100.00000345606453
Guinea,Africa,0.311,0.0213,3.8776,0.0,17.2911,0.1648,0.8939,7.9395,1.1561,1.4724,0.2312,0.1692,0.9506,0.3925,0.0,11.7958,0.1196,1.3368,0.0,0.0009,1.3271,4.4286,46.1202,6.6,16.5,0.030332297,0.000188247,0.016614831,0.013529219,12218000.0,31.8873,51.875899999999994,8.2505,7.9865,26.57275,32.422437499999994,20.626250000000002,9.983125000000001,89.6045625,v,p,0.0,0.620615708727895,54.7760395462302,44.603344745041895,100.0
Guinea-Bissau,Africa,2.4603,0.0423,4.9295,0.0,21.6069,0.1038,0.1666,6.366,2.2155,2.1899,0.5331,0.2114,0.328,0.2499,0.0013,8.1087,0.0167,0.7893,0.0,0.4485,1.8016,2.3642,45.0666,8.2,28.0,0.066844066,0.000425758,0.002235232,0.064183076,1879000.0,31.549300000000002,49.2324,8.8263,10.392099999999997,26.291083333333336,30.770249999999997,22.06575,12.990124999999997,92.11720833333332,v,p,0.0,0.636942103432188,3.3439497830667575,96.01910811350108,100.00000000000003
Guyana,South America,1.8708,0.0206,9.1155,0.0,9.7847,0.1038,1.7011,5.7954,2.5237,4.7277,0.3516,0.0385,1.8367,0.3907,0.1942,1.8384,0.0742,3.2325,0.0,0.0435,0.2779,15.2061,40.8722,19.2,8.1,0.01954023,0.001532567,0.008939974,0.009067688,783000.0,17.394900000000003,56.3562,7.6662,18.5825,14.495750000000001,35.222625,19.165499999999998,23.228125,92.112,v,g,0.0,7.843136953863901,45.75163137793158,46.4052265505575,99.99999488235298
Haiti,North America,1.2733,0.0402,3.5986,0.0,13.4196,0.0525,0.5064,12.0278,1.9687,0.8765,0.3309,0.1532,0.4829,2.0067,0.0022,11.48,0.3801,2.0961,0.0,0.0,0.8742,2.0302,46.3997,20.5,49.3,0.018858208,0.00039066,0.000213087,0.018254462,11263000.0,29.867600000000003,49.304100000000005,13.3011,7.527,24.889666666666667,30.8150625,33.25275,9.408750000000001,98.36622916666667,f,p,0.0,2.0715648061576157,1.1299429935230323,96.79849750305011,100.00000530273076
Honduras,North America,2.0662,0.1378,13.6048,0.0,14.1699,0.4601,0.3339,6.8464,3.508,9.0154,0.6923,0.1505,0.1749,1.3962,0.0138,0.6796,0.4686,5.9591,0.0,0.0276,1.2467,2.6599,36.3883,19.4,12.9,0.053375744,0.002175251,0.005509953,0.04569054,9746000.0,22.889699999999998,40.2949,8.9126,27.9028,19.074749999999998,25.1843125,22.281499999999998,34.8785,101.4190625,p,g,1.0,4.075354902781307,10.32295306272452,85.60169203449416,100.0
Hungary,Europe,6.7533,1.0595,20.0268,0.0007,7.5908,0.8885,0.4113,3.0852,5.2042,12.4568,0.0039,0.0052,0.0679,0.1906,0.1802,3.046,0.1031,2.5433,0.0,0.0183,0.7214,5.6788,29.9644,28.6,2.5,0.039672467,0.005383828,0.021975435,0.012313204,9770000.0,13.740199999999998,36.3646,9.8385,40.056900000000006,11.450166666666666,22.727875000000004,24.59625,50.071125,108.84541666666667,p,g,0.0,13.570691230268084,55.39215647970669,31.037152290025215,100.0
Iceland,Europe,4.7545,0.9461,23.97,0.0025,4.1196,0.5557,4.6117,4.8405,4.6269,13.0028,1.4022,0.2232,0.1759,0.0376,0.0676,1.9909,0.4626,3.9472,0.0,0.0752,0.4667,3.6874,26.0331,23.1,2.5,0.500277008,0.002770083,0.496952909,0.000554017,361000.0,10.876600000000002,30.1872,9.594999999999999,49.341100000000004,9.063833333333335,18.867,23.987499999999997,61.67637500000001,113.59470833333334,p,g,0.0,0.5537098358915588,99.33554831686368,0.110742047134015,100.00000019988924
India,Asia,0.1959,0.0028,11.3357,0.0,17.3821,0.3061,0.6499,5.4333,0.356,9.9889,0.0,0.0311,0.728,1.5709,0.3268,2.7906,0.0753,1.7471,0.0,0.1526,0.7487,7.5213,38.6568,3.8,14.5,0.013694307,0.000388538,0.006599108,0.00670666,1391885000.0,24.773400000000002,46.9268,5.6292,22.6705,20.6445,29.329250000000002,14.072999999999999,28.338125,92.38487500000001,v,f,0.0,2.8372227963050634,48.18869622245215,48.97407367893826,99.99999269769548
Indonesia,Asia,0.0794,0.0309,6.2575,0.0009,24.3918,0.4911,3.9386,5.5134,1.0316,0.5943,0.0026,0.1702,2.2113,0.0988,0.1508,4.6343,0.0406,1.8481,0.0,0.0564,0.8579,3.8558,43.7438,6.9,8.3,0.009862566,0.000600926,0.002722609,0.00653903,268419000.0,33.4321,48.4575,5.5927999999999995,12.517700000000001,27.86008333333333,30.285937500000003,13.982,15.647125,87.77514583333333,v,f,0.0,6.0929985158020745,27.605483197780373,66.30150814706842,99.99998986065086
Iran (Islamic Republic of),Asia,0.0007,0.5369,7.9295,0.002,14.0141,0.4916,0.7813,7.9235,2.3965,3.5808,0.0007,0.1405,0.054,0.4729,0.0559,3.2877,0.1299,2.198,0.0,0.6421,0.7706,12.5207,42.0701,25.5,4.9,0.180507919,0.009291988,0.141635781,0.02958015,83911000.0,20.854599999999998,55.361399999999996,7.9242,15.8598,17.378833333333333,34.600874999999995,19.8105,19.824749999999998,91.61495833333332,v,g,1.0,5.147689947054345,78.4651342637217,16.387175789223964,100.0
Iraq,Asia,0.1915,0.0423,6.2809,0.0,24.0855,1.2467,0.445,6.4975,2.5171,1.9902,0.3975,0.0396,0.3037,0.4807,0.0304,1.0842,0.1783,3.3755,0.0,0.1268,2.0139,4.9563,43.7165,27.4,29.0,0.016380056,0.000521496,0.008028491,0.007830069,39310000.0,29.665099999999995,50.6867,6.689,12.9593,24.72091666666666,31.6791875,16.7225,16.199125,89.32172916666666,v,p,1.0,3.1837253792050526,49.0138190003746,47.802455620420346,100.0
Ireland,Europe,7.5703,0.871,18.5712,0.0005,6.3057,0.4653,1.1942,3.3996,4.0102,11.9469,0.2951,0.0831,0.1733,0.1325,0.0362,3.5362,0.1855,4.0147,0.0,0.0836,0.7497,4.951,31.4242,26.9,2.5,0.505972869,0.033448066,0.447236283,0.02528852,4939000.0,14.4677,37.1249,10.969899999999999,37.43749999999999,12.056416666666667,23.203062499999998,27.424749999999996,46.79687499999999,109.48110416666665,p,g,0.0,6.61064417665446,88.39135661244319,4.9979992109023526,100.0
Israel,Asia,1.2876,0.1026,18.7463,0.0017,7.6277,0.5664,1.4696,6.3746,5.5003,10.9066,0.2602,0.2007,0.5233,0.364,0.0278,1.9975,0.2619,1.7747,0.0,0.2262,1.6743,8.8586,31.2472,26.7,2.5,0.200387369,0.003345463,0.173870173,0.023171734,8519000.0,12.8031,41.7801,7.6622,37.7544,10.669250000000002,26.112562499999996,19.1555,47.193,103.1303125,p,g,0.0,1.6694979412599602,86.76703220750404,11.563470350269432,100.00000049903343
Italy,Europe,3.1892,0.2834,19.0329,0.0005,8.5417,0.6247,1.5816,6.0207,4.2963,12.1258,0.0403,0.1194,0.1836,0.2781,0.0064,1.9043,0.2946,1.7175,0.0,0.423,1.4224,6.9463,30.9671,22.9,2.5,0.386108211,0.05537327,0.261010854,0.069724087,60345000.0,13.3492,39.3358,9.2099,38.1049,11.124333333333333,24.584875,23.02475,47.631125000000004,106.36508333333333,p,g,0.0,14.341386280438362,67.6004411623352,18.058172557226452,100.00000000000001
Jamaica,North America,2.4636,0.2074,11.9958,0.0074,8.5031,0.1457,1.8692,8.0661,4.3372,5.217,0.6952,0.2111,0.999,0.2177,0.3752,4.5837,0.1677,4.6889,0.0,0.011,0.7584,6.4772,38.0023,24.4,8.0,0.020846674,0.000320171,0.011063678,0.009462825,2811000.0,19.5463,45.237899999999996,10.5297,24.685999999999996,16.28858333333333,28.2736875,26.32425,30.857499999999995,101.74402083333331,p,g,1.0,1.5358373234982232,53.07166985006817,45.3924928264336,100.0
Japan,Asia,4.044,0.0751,15.3194,0.1088,12.1692,1.696,3.9283,2.8618,4.2599,5.063,0.2962,0.1883,0.7737,0.1287,0.1036,2.2072,0.3731,2.2055,0.228,0.0812,1.3445,7.8669,34.6776,4.4,2.5,0.013275479,0.000711682,0.011366302,0.001197496,126180000.0,18.270200000000003,43.888999999999996,6.905799999999999,30.935000000000002,15.22516666666667,27.430625,17.264499999999998,38.66875,98.58904166666667,p,g,0.0,5.36087624408882,85.61877126994816,9.020360018647915,100.00000753268489
Jordan,Asia,0.0846,0.1162,9.3186,0.0,14.138,0.3344,0.5985,4.6624,3.8651,4.2637,0.3579,0.1397,0.728,0.6393,0.0469,2.1431,0.3742,4.7276,0.0,0.1652,1.9861,10.6308,40.6798,33.4,12.2,0.007079222,8.62e-05,0.005000479,0.001992528,10439000.0,22.962299999999995,53.2967,4.747,18.9941,19.135249999999996,33.3104375,11.8675,23.742625,88.0558125,v,f,0.0,1.2176479279785264,70.63599644141688,28.14614374291412,99.99978811230953
Kazakhstan,Asia,2.1919,0.3611,19.1598,0.0,6.5119,0.4584,0.2393,3.2145,3.4501,14.3591,0.2967,0.2914,0.1154,0.0255,0.0106,5.4755,0.1319,1.456,0.0,0.0845,1.1215,10.2055,30.8394,21.3,2.5,0.058663353,0.000216111,0.029196607,0.029250635,18509000.0,13.8113,42.1664,5.4064,38.6159,11.509416666666667,26.354,13.516,48.269875000000006,99.64929166666667,p,g,0.0,0.36839183058629466,49.76975489280335,49.861853276610354,100.0
Kenya,Africa,1.9664,0.1175,11.4394,0.0,15.1221,0.1447,0.4329,4.6941,1.7336,8.7987,0.025,0.211,0.2686,1.751,0.0174,7.5828,0.223,1.8098,0.0,0.0892,0.6689,4.345,38.5589,6.0,29.4,0.003731883,0.000121733,0.000909195,0.002700955,52574000.0,26.863899999999997,43.5728,6.6605,22.902799999999996,22.38658333333333,27.233,16.65125,28.628499999999995,94.89933333333332,p,f,1.0,3.2619725752388273,24.362902052395533,72.37512537236564,100.0
"Korea, South",Asia,4.8669,0.2553,11.8174,1.6794,11.7286,0.6414,3.4396,3.6993,4.4239,1.1394,0.0,0.2378,0.5632,0.072,0.0288,0.9799,0.0945,2.4835,0.0006,0.1664,1.1663,12.3349,38.181,4.9,2.5,0.022186861,0.000522702,0.02010184,0.001562319,51846000.0,16.1175,51.682199999999995,8.5662,23.634199999999996,13.43125,32.301375,21.4155,29.542749999999995,96.69087499999999,v,g,0.0,2.3559078501460844,90.60245160412734,7.04164054572659,100.00000000000001
Kuwait,Asia,0.0044,0.0022,10.7213,0.0022,11.4132,1.3306,0.8343,5.3058,4.877,3.4788,0.8554,0.1969,0.2783,0.4353,0.202,3.2296,0.2696,2.9163,0.0276,0.1512,1.1976,12.9953,39.275,37.0,2.8,0.642809603,0.00503922,0.270644164,0.367126218,4207000.0,18.923099999999998,53.4679,5.3102,22.2987,15.769249999999998,33.417437500000005,13.275500000000001,27.873375,90.33556250000001,v,f,0.0,0.7839366394779886,42.103316866596344,57.11274633835861,99.99999984443295
Kyrgyzstan,Asia,0.6313,0.191,15.4588,0.0,10.1059,0.2653,0.07,2.2846,1.8707,12.8008,0.2076,0.2604,0.0098,0.3439,0.0197,5.8068,0.0608,3.2495,0.0,0.1449,0.355,11.3219,34.5412,15.4,7.1,0.027071395,0.000247793,0.01811987,0.008703732,6457000.0,19.741300000000003,46.21810000000001,2.9159,31.124600000000004,16.451083333333337,28.886312500000006,7.289750000000001,38.905750000000005,91.53289583333336,p,f,0.0,0.9153314781155534,66.93363973300968,32.151028788874754,99.99999999999999
Lao People's Democratic Republic,Asia,0.7883,0.0979,3.6579,0.0006,16.3943,0.1063,1.4213,8.8158,1.7111,0.1632,0.3404,0.1581,0.3584,0.1485,0.1317,3.4835,0.9869,1.1101,1.9254,0.0028,0.2149,11.641,46.3416,4.5,16.5,0.000266293,0.0,0.000224247,4.2e-05,7135000.0,24.541599999999995,58.1975,9.604099999999999,7.6568000000000005,20.45133333333333,36.3734375,24.010249999999996,9.571,90.40602083333333,v,p,0.0,0.0,84.21062513847528,15.77210065604428,99.98272579451955
Latvia,Europe,5.4573,1.1805,18.8216,0.0005,6.3952,0.6645,1.3226,2.5738,3.6559,11.8285,0.2596,0.1686,0.1107,0.0032,0.0122,6.5835,0.1963,2.6169,0.0,0.0793,0.699,6.1946,31.1757,25.7,2.5,0.055723994,0.001254574,0.038944067,0.015525353,1913000.0,15.9973,38.0693,8.0311,37.9023,13.331083333333332,23.7933125,20.077749999999998,47.377874999999996,104.58002083333332,p,g,0.0,2.2514071765925467,69.88742946171446,27.86116336169299,100.0
Lebanon,Asia,0.7164,0.0796,8.0679,0.0,11.8253,0.173,0.7091,6.9852,1.9469,5.0748,0.0747,0.0853,0.5052,0.5011,0.0406,3.2676,0.3647,5.1366,0.0,0.5271,1.4807,10.5128,41.9252,31.3,11.0,0.017794632,0.000393816,0.010385064,0.007015753,6856000.0,22.168200000000002,53.9187,7.7016,16.211299999999998,18.4735,33.6991875,19.253999999999998,20.264124999999996,91.69081249999999,v,g,1.0,2.213116854566029,58.36065617990863,39.426232585197596,100.00000561967227
Lesotho,Africa,3.4135,0.0233,6.0914,0.0,23.4645,0.1204,0.2383,1.8065,2.529,2.7893,0.3898,0.3924,0.0725,1.1603,0.1165,7.1935,0.0363,2.2079,0.0,0.0052,0.6786,3.3721,43.8988,13.5,13.1,9.41e-05,0.0,4.71e-05,4.71e-05,2125000.0,34.2567,47.9495,5.22,12.573899999999998,28.547250000000002,29.9684375,13.05,15.717374999999997,87.2830625,v,f,0.0,0.0,50.05313496280552,50.05313496280552,100.10626992561104
Liberia,Africa,1.0338,0.0264,3.7603,0.0,16.1465,0.1598,0.7764,5.3606,2.4123,0.1545,0.2997,0.2311,0.4159,0.0977,0.0013,15.3608,0.0132,1.1236,1.1804,0.0779,1.9567,3.1728,46.2383,8.6,37.2,0.005833502,0.000546891,0.003180069,0.002106542,4937000.0,34.4173,51.3678,6.3944,7.820499999999999,28.68108333333333,32.104875,15.986,9.775624999999998,86.54758333333334,v,p,0.0,9.375003214192777,54.51389234117002,36.1111044446372,100.0
Lithuania,Europe,5.5419,0.5316,23.049,0.0009,6.4732,0.7,1.5431,2.4007,3.7899,16.3529,0.0126,0.1301,0.0867,0.4388,0.0546,2.2766,0.2164,4.502,0.0,0.055,0.4924,4.4045,26.9471,28.4,2.5,0.060100466,0.002511661,0.044348762,0.013240043,2787000.0,14.1033,31.843999999999998,7.9426000000000005,46.110099999999996,11.75275,19.902499999999996,19.8565,57.63762499999999,109.14937499999999,p,g,0.0,4.179104035566048,73.79104514763662,22.029850816797328,100.0
Luxembourg,Europe,8.0858,0.5443,14.6038,0.0051,5.1366,0.7875,1.6249,4.4841,4.0469,7.4929,0.3877,0.1036,0.1658,0.0399,0.0586,2.2067,1.2823,8.1121,0.0,0.0308,0.563,4.8536,35.3838,24.2,2.5,0.648064516,0.017741935,0.618225806,0.012096774,620000.0,17.032799999999998,40.8004,12.5699,29.5967,14.193999999999999,25.50025,31.424750000000003,36.995875,108.114875,p,g,0.0,2.7376803639099414,95.39571921262234,1.8666002691620904,99.99999984569438
Madagascar,Africa,0.7972,0.0415,4.9125,0.0024,19.9604,0.077,0.6267,5.0701,1.4618,2.5031,0.0782,0.2002,0.1848,0.3708,0.0486,14.4675,0.2085,1.0922,0.5852,0.0261,0.3115,1.8871,45.0869,4.5,44.4,0.002858838,2.22e-05,0.000622937,0.002213653,26969000.0,36.9441,47.2855,5.8673,9.903400000000001,30.78675,29.5534375,14.668249999999999,12.37925,87.3876875,g,p,0.0,0.7765392792456236,21.78986707186626,77.4319146450411,99.99832099615298
Malawi,Africa,1.1827,0.0814,2.7754,0.0,10.6197,0.0829,0.697,8.4723,1.4923,0.2524,0.0396,0.1695,0.5436,1.1841,0.0139,20.2901,0.0389,0.6412,0.0,0.0161,0.204,3.9786,47.2242,4.7,17.5,0.001524505,2.15e-05,0.000225455,0.001277578,18629000.0,33.34759999999999,51.406800000000004,9.655000000000001,5.5905,27.789666666666662,32.129250000000006,24.137500000000003,6.988124999999999,91.04454166666667,v,p,0.0,1.4102938330802457,14.788734704051478,83.80280812460438,100.0018366617361
Malaysia,Asia,0.8948,0.0882,12.6354,0.0204,17.3088,1.6596,5.3482,4.1713,4.9092,0.53,0.1541,0.0789,0.5801,0.2617,0.4502,1.6568,0.1012,3.903,0.0,0.0835,1.6336,6.1678,37.3632,15.3,2.5,0.023872622,0.000351113,0.019396696,0.004124813,32753000.0,24.3453,45.1646,5.0661,25.424000000000003,20.287750000000003,28.227875,12.66525,31.78,92.960875,p,f,0.0,1.4707768589474588,81.25079850885253,17.278424632200014,100.0
Maldives,Asia,0.6859,0.0029,14.2704,0.0068,11.5385,1.1422,8.7959,6.0777,2.0051,2.3155,3.0315,0.0019,0.2082,0.0808,0.3434,1.6403,0.396,2.979,0.1002,0.7569,0.1819,7.718,35.7208,7.9,10.3,0.331401869,0.000934579,0.084672897,0.245794393,535000.0,18.043300000000006,43.6207,6.7636,31.572200000000002,15.03608333333334,27.2629375,16.909000000000002,39.465250000000005,98.67327083333333,p,g,0.0,0.2820077638125813,25.54991535065845,74.16807688552896,100.0
Mali,Africa,2.8904,0.0444,10.1637,0.0,19.8566,0.0573,0.7543,3.8991,1.9124,7.1206,0.1841,0.2746,0.491,0.7955,0.0638,2.6772,0.0614,0.8811,0.0,0.2374,0.5144,7.2943,39.8262,7.1,6.3,0.006435039,0.000391698,0.003642283,0.002401058,19658000.0,25.064,47.6349,6.7895,20.511400000000002,20.886666666666667,29.7718125,16.973750000000003,25.639250000000004,93.27147916666667,v,f,1.0,6.086956116349877,56.60079138603511,37.31225249761501,100.0
Malta,Europe,3.9051,0.2062,13.6092,0.0017,7.8996,0.6714,1.7922,4.631,4.6096,6.2546,0.0315,0.0747,0.2899,0.2197,0.0331,2.059,0.2101,5.2164,0.0,0.1236,0.486,11.2856,36.3899,31.0,2.5,0.1236,0.0018,0.1068,0.015,500000.0,16.0514,48.1615,8.536100000000001,27.2511,13.376166666666666,30.100937499999997,21.34025,34.063874999999996,98.88122916666666,p,g,0.0,1.4563106796116503,86.40776699029126,12.135922330097086,100.0
